sample,GPSC,merge_history
18090_2#42,1,
17794_5#6,1,
17794_6#92,1,
15608_5#52,1,
11860_1#66,1,
6899_5#12,1,
23204_4#173,1,
22027_1#142,1,
6823_2#23,1,
23430_4#19,1,
12274_5#67,1,
18814_1#39,1,
6983_4#83,1,
15841_4#33,1,
6949_4#22,1,
17794_6#87,1,
17794_5#78,1,
5366_5#9,1,
13414_1#36,1,
15682_4#35,1,
17794_5#10,1,
16404_7#44,1,
12299_2#77,1,
17794_4#31,1,
12291_1#44,1,
13154_3#43,1,
12274_5#42,1,
15682_2#55,1,
23430_1#146,1,
24775_1#92,1,
12274_6#18,1,
6823_6#12,1,
17794_4#15,1,
23430_2#13,1,
7001_1#21,1,
14673_1#86,1,
13091_2#66,1,
17794_6#56,1,
15682_2#1,1,
24820_2#126,1,
17175_6#10,1,
17794_5#40,1,
6823_3#14,1,
19646_1#101,1,
13091_2#65,1,
6730_3#1,1,
6823_3#22,1,
15191_6#59,1,
12274_5#1,1,
15682_1#61,1,
14673_1#52,1,
10868_5#11,1,
6730_4#18,1,
13415_6#21,1,
24820_2#111,1,
9221_5#57,1,
17794_4#58,1,
17175_7#15,1,
17794_4#87,1,
13414_2#83,1,
18814_2#27,1,
7038_8#42,1,
19341_3#66,1,
20925_3#7,1,
12291_4#79,1,
14566_6#89,1,
16404_7#53,1,
23430_4#60,1,
12837_4#2,1,
14410_7#64,1,
16453_2#20,1,
17794_4#93,1,
6925_3#11,1,
11511_8#38,1,
19647_1#4,1,
6187_5#23,1,
6775_1#10,1,
7004_6#39,1,
12274_6#53,1,
7004_8#81,1,
11658_2#66,1,
6899_5#8,1,
17794_8#23,1,
17794_4#77,1,
14566_5#47,1,
6730_4#4,1,
11860_1#83,1,
24861_1#297,1,
6736_7#24,1,
19647_1#79,1,
22335_7#26,1,
15682_1#81,1,
11826_3#47,1,
19647_1#59,1,
6949_2#15,1,
21053_8#173,1,
15682_4#3,1,
7092_6#7,1,
6871_1#17,1,
23430_3#33,1,
21127_1#81,1,
12274_5#76,1,
13154_3#67,1,
13091_4#81,1,
19647_1#16,1,
17794_6#27,1,
18090_2#70,1,
19647_1#44,1,
13091_2#46,1,
17794_5#22,1,
23430_3#109,1,
6731_3#19,1,
17794_6#31,1,
19647_1#32,1,
19647_1#41,1,
11826_3#65,1,
19647_1#78,1,
23430_1#109,1,
22335_7#71,1,
7038_6#1,1,
22841_1#187,1,
14566_8#26,1,
11826_3#40,1,
18623_5#43,1,
28042_2#106,1,
6731_4#24,1,
6730_6#11,1,
17794_5#4,1,
13154_3#62,1,
23430_4#37,1,
6899_4#1,1,
19647_1#54,1,
11679_1#62,1,
12274_6#8,1,
15191_7#12,1,
10868_5#12,1,
17794_5#54,1,
12291_5#1,1,
6805_1#10,1,
12274_5#20,1,
5468_1#4,1,
15531_4#78,1,
13091_3#35,1,
11511_8#48,1,
17794_5#62,1,
14672_3#10,1,
6187_5#8,1,
15191_5#12,1,
19647_1#60,1,
21999_8#109,1,
13091_1#34,1,
12299_1#57,1,
13415_6#23,1,
17150_6#55,1,
21127_1#76,1,
15873_3#18,1,
18814_2#73,1,
17794_4#80,1,
19787_5#32,1,
11826_3#19,1,
13091_3#34,1,
13091_1#44,1,
15682_1#72,1,
6569_5#20,1,
7011_4#17,1,
17794_6#53,1,
13414_8#22,1,
13710_2#34,1,
18814_2#18,1,
11860_1#25,1,
12299_1#80,1,
14673_1#67,1,
17794_3#91,1,
11860_1#70,1,
6925_4#18,1,
6807_3#22,1,
15940_5#12,1,
17150_4#11,1,
17794_3#53,1,
11658_2#75,1,
12290_2#17,1,
6755_3#21,1,
18814_1#62,1,
13414_2#67,1,
17794_5#35,1,
15191_5#57,1,
18090_2#60,1,
23430_2#69,1,
16404_7#45,1,
7004_5#18,1,
12837_5#72,1,
6755_3#9,1,
6807_2#24,1,
13470_1#47,1,
17794_5#44,1,
10868_5#28,1,
14566_8#68,1,
9803_8#15,1,
14672_3#14,1,
15873_8#35,1,
19647_1#1,1,
11679_1#3,1,
18814_2#51,1,
28042_2#336,1,
20402_4#118,1,
17794_4#55,1,
6805_4#13,1,
5901_5#8,1,
11826_3#75,1,
22335_7#131,1,
17794_6#35,1,
14412_1#69,1,
6731_3#3,1,
23204_4#155,1,
6899_5#24,1,
6949_3#18,1,
17794_6#69,1,
7004_5#1,1,
18814_1#42,1,
6823_1#18,1,
19341_3#116,1,
7011_6#10,1,
17794_4#95,1,
6736_8#8,1,
17794_5#27,1,
17794_4#88,1,
7011_6#7,1,
6731_5#21,1,
12291_6#85,1,
17794_4#38,1,
17794_4#17,1,
17794_6#3,1,
17794_4#68,1,
17794_4#20,1,
19646_1#40,1,
23430_1#114,1,
17794_5#87,1,
24775_1#16,1,
6805_3#10,1,
13353_7#15,1,
15682_4#27,1,
22027_1#44,1,
17794_4#40,1,
17794_5#47,1,
14673_1#48,1,
15531_5#66,1,
23430_3#57,1,
6237_8#4,1,
6983_7#66,1,
13415_8#47,1,
12291_4#82,1,
6680_4#1,1,
19084_7#168,1,
17794_4#43,1,
15682_5#26,1,
17794_5#79,1,
11826_4#23,1,
11657_4#53,1,
17794_5#9,1,
21127_1#39,1,
23204_4#106,1,
22335_7#141,1,
13415_7#83,1,
7038_5#23,1,
11826_3#3,1,
6680_5#24,1,
6840_3#2,1,
6736_7#22,1,
18814_2#53,1,
19647_1#66,1,
7054_6#13,1,
23430_2#11,1,
15531_4#42,1,
11826_3#6,1,
7004_7#50,1,
6983_5#15,1,
19647_1#50,1,
6972_2#16,1,
13091_2#6,1,
23430_3#87,1,
17794_5#45,1,
17150_4#31,1,
21127_1#80,1,
16404_7#42,1,
6187_4#10,1,
17794_4#9,1,
18814_1#44,1,
14673_2#76,1,
11658_2#84,1,
17794_5#5,1,
17794_6#78,1,
23430_4#24,1,
17794_6#81,1,
12291_5#45,1,
17794_6#1,1,
12291_1#51,1,
13470_1#40,1,
6925_7#14,1,
15378_2#24,1,
13091_1#47,1,
18814_2#2,1,
6731_5#15,1,
6805_5#7,1,
11658_2#1,1,
6731_4#5,1,
5381_1#10,1,
17794_5#82,1,
19341_1#101,1,
17150_6#86,1,
6871_2#13,1,
23164_8#157,1,
17794_5#52,1,
23430_4#27,1,
23430_2#154,1,
15682_1#73,1,
15682_2#13,1,
6823_2#2,1,
18090_1#51,1,
16404_7#23,1,
6630_3#3,1,
12291_2#44,1,
10868_6#2,1,
6736_5#1,1,
22335_7#11,1,
15682_4#2,1,
15940_6#49,1,
11826_4#22,1,
17794_6#51,1,
14723_2#34,1,
19084_7#158,1,
6187_6#4,1,
13154_3#27,1,
13414_3#95,1,
23204_4#179,1,
17138_3#77,1,
12299_2#60,1,
11826_3#2,1,
11826_4#10,1,
11511_8#59,1,
20925_3#28,1,
6187_4#15,1,
17794_4#18,1,
23430_4#54,1,
18814_2#29,1,
23430_3#166,1,
6680_5#18,1,
6259_1#4,1,
5429_8#3,1,
15531_5#55,1,
11860_1#15,1,
23430_1#163,1,
13091_3#53,1,
17794_5#30,1,
13154_3#44,1,
11860_1#19,1,
7622_2#38,1,
6710_6#20,1,
19647_1#77,1,
17794_6#4,1,
6823_5#6,1,
11826_3#17,1,
17794_4#86,1,
11860_6#17,1,
19647_1#51,1,
11511_8#33,1,
6187_6#13,1,
17794_5#7,1,
19646_1#79,1,
17794_6#85,1,
7622_5#73,1,
19084_8#110,1,
17794_6#9,1,
19647_1#25,1,
16404_7#81,1,
7054_5#6,1,
19341_1#131,1,
23430_4#47,1,
14412_3#9,1,
17794_5#53,1,
17794_5#86,1,
23430_2#18,1,
16404_7#52,1,
6730_7#9,1,
16399_8#61,1,
17794_6#47,1,
5429_8#11,1,
23430_3#170,1,
19787_5#34,1,
7004_5#11,1,
19647_1#3,1,
14913_7#70,1,
16404_7#33,1,
22335_7#1,1,
12291_4#16,1,
12299_2#2,1,
16043_2#61,1,
6710_8#11,1,
13091_2#4,1,
11826_4#17,1,
17794_4#22,1,
6983_8#77,1,
19084_8#109,1,
6775_2#12,1,
21485_1#82,1,
19647_1#33,1,
16399_8#87,1,
11657_8#14,1,
12274_4#82,1,
5366_6#5,1,
24775_1#71,1,
11657_4#55,1,
7004_7#51,1,
7004_7#71,1,
24775_1#65,1,
12162_1#45,1,
13710_1#45,1,
17794_6#62,1,
7011_4#1,1,
6731_3#7,1,
13091_2#79,1,
17794_4#94,1,
13091_6#36,1,
6823_4#12,1,
6714_8#24,1,
21127_2#174,1,
13154_2#18,1,
23430_1#143,1,
19647_1#73,1,
6753_2#4,1,
16404_7#79,1,
11860_1#68,1,
7622_2#7,1,
24820_2#95,1,
15682_5#4,1,
23430_3#62,1,
6755_4#23,1,
6823_5#21,1,
6259_3#14,1,
14555_3#50,1,
14673_1#2,1,
12274_5#34,1,
12378_4#27,1,
17794_6#50,1,
18814_2#46,1,
19084_8#158,1,
19341_3#37,1,
7011_6#22,1,
12299_2#74,1,
6952_4#21,1,
19647_1#5,1,
16404_7#54,1,
19647_1#62,1,
7054_5#15,1,
16043_2#58,1,
24820_2#352,1,
18787_3#11,1,
22335_8#82,1,
15841_4#67,1,
5468_2#7,1,
24861_1#304,1,
17794_6#60,1,
7004_5#21,1,
14673_4#32,1,
6680_4#5,1,
6949_2#18,1,
17794_5#81,1,
7622_3#54,1,
14555_3#13,1,
23204_4#54,1,
19341_2#80,1,
20925_3#9,1,
10868_6#12,1,
24820_2#312,1,
12274_5#17,1,
6805_7#10,1,
17794_6#44,1,
5429_8#4,1,
19646_1#89,1,
12291_4#33,1,
5429_8#7,1,
7011_4#22,1,
6259_4#4,1,
16404_8#47,1,
9803_8#14,1,
12299_2#80,1,
6753_1#17,1,
19647_1#86,1,
12274_5#22,1,
13414_8#86,1,
18814_2#48,1,
16404_8#72,1,
7553_4#39,1,
13470_1#75,1,
11826_3#36,1,
5366_7#11,1,
21242_2#153,1,
6259_3#20,1,
19647_1#90,1,
23430_3#140,1,
12837_4#66,1,
9803_8#43,1,
7092_6#20,1,
13414_3#16,1,
17794_5#88,1,
17794_5#41,1,
12291_4#27,1,
17059_8#38,1,
13091_3#79,1,
5366_5#2,1,
22335_7#107,1,
14673_1#62,1,
6999_4#11,1,
6871_1#1,1,
22027_1#141,1,
11826_3#60,1,
12291_1#89,1,
14936_6#47,1,
17794_5#46,1,
6899_6#21,1,
19341_3#43,1,
6731_2#7,1,
19341_2#74,1,
5381_2#5,1,
17794_6#90,1,
6949_1#2,1,
9803_8#4,1,
17794_6#84,1,
15608_2#50,1,
17794_4#50,1,
15682_1#56,1,
18814_2#5,1,
17794_4#59,1,
19646_1#73,1,
5504_3#12,1,
17794_5#59,1,
6259_1#17,1,
16404_7#28,1,
15608_5#73,1,
12291_1#59,1,
15682_3#64,1,
15682_3#74,1,
18814_2#11,1,
12837_2#39,1,
14673_4#30,1,
18814_1#31,1,
17794_5#21,1,
11826_3#33,1,
15682_1#27,1,
16399_8#66,1,
6807_2#14,1,
13154_3#75,1,
17794_5#75,1,
19084_7#138,1,
5468_2#10,1,
11826_4#29,1,
9950_3#71,1,
13091_4#27,1,
15682_4#50,1,
23430_4#78,1,
17794_5#43,1,
6823_5#10,1,
12299_2#18,1,
17175_7#1,1,
12378_4#11,1,
11826_3#32,1,
15682_3#46,1,
9803_7#78,1,
19647_1#38,1,
13154_2#29,1,
6983_7#50,1,
5468_1#5,1,
12274_5#94,1,
19646_1#63,1,
11826_3#29,1,
12291_1#52,1,
17794_4#83,1,
13154_3#14,1,
18090_2#154,1,
23204_4#180,1,
11826_4#21,1,
21127_1#42,1,
19084_7#115,1,
23204_4#66,1,
15191_6#63,1,
6983_5#1,1,
12291_4#61,1,
13091_4#85,1,
17794_4#42,1,
6731_5#3,1,
12274_6#48,1,
17175_5#18,1,
12274_5#49,1,
6840_1#22,1,
7001_1#8,1,
5366_7#2,1,
23204_4#46,1,
6972_3#13,1,
13091_3#55,1,
14673_1#81,1,
17175_6#18,1,
15191_5#46,1,
6775_1#3,1,
12291_4#53,1,
11826_3#48,1,
6999_2#15,1,
23430_1#62,1,
12299_2#69,1,
19084_8#44,1,
17794_4#66,1,
23204_4#121,1,
6731_3#24,1,
19084_8#33,1,
12299_2#63,1,
14673_3#8,1,
23204_4#70,1,
15608_4#65,1,
24861_1#174,1,
13710_1#33,1,
12837_4#22,1,
28042_2#82,1,
7004_7#69,1,
17794_3#92,1,
5468_1#2,1,
18814_2#37,1,
11826_3#70,1,
17794_6#45,1,
16404_7#22,1,
7068_4#19,1,
11826_4#37,1,
24775_1#89,1,
10868_6#13,1,
17794_6#86,1,
12291_1#47,1,
19341_2#148,1,
15531_4#87,1,
19646_1#47,1,
12291_1#4,1,
17794_3#50,1,
9221_3#81,1,
6259_8#16,1,
24820_2#71,1,
16404_7#36,1,
17794_6#58,1,
6823_1#15,1,
11860_1#33,1,
13091_4#56,1,
15191_6#80,1,
17794_3#56,1,
15682_4#38,1,
11657_4#45,1,
21053_8#180,1,
13091_1#13,1,
15191_5#62,1,
12291_4#74,1,
12837_1#22,1,
16404_7#27,1,
17794_5#65,1,
17794_6#17,1,
11893_8#15,1,
12299_1#43,1,
20925_3#48,1,
17794_5#60,1,
16399_8#70,1,
6753_3#1,1,
11826_3#68,1,
14673_2#57,1,
24820_2#104,1,
18814_2#17,1,
24820_2#97,1,
18090_2#71,1,
21485_4#3,1,
23430_3#152,1,
10868_6#7,1,
12837_2#14,1,
5477_6#10,1,
16404_7#24,1,
18814_1#55,1,
20925_3#30,1,
18814_2#52,1,
12162_1#3,1,
6983_3#69,1,
6805_3#13,1,
6807_2#10,1,
20402_4#53,1,
14566_8#25,1,
6246_4#17,1,
15682_5#36,1,
24820_2#121,1,
14566_8#75,1,
7092_6#15,1,
17794_6#93,1,
17794_6#80,1,
24775_1#194,1,
16404_7#29,1,
6736_6#16,1,
6187_7#23,1,
23204_4#118,1,
6630_3#22,1,
6840_3#24,1,
21053_8#169,1,
14555_3#82,1,
13414_2#91,1,
13670_3#16,1,
12291_6#52,1,
24861_1#332,1,
6736_6#24,1,
15682_3#87,1,
17794_7#113,1,
28042_2#308,1,
6259_2#1,1,
19341_2#164,1,
19084_8#13,1,
17794_4#64,1,
23430_2#72,1,
6972_2#20,1,
12299_1#6,1,
12299_2#14,1,
18814_1#2,1,
23204_4#58,1,
6983_2#10,1,
13091_4#62,1,
21127_2#143,1,
21053_8#142,1,
6680_7#1,1,
12754_4#62,1,
12837_5#78,1,
12299_2#58,1,
6925_2#77,1,
23204_4#65,1,
11511_8#9,1,
13091_2#43,1,
12274_5#23,1,
11826_3#13,1,
7011_6#1,1,
6731_1#8,1,
10868_6#14,1,
12291_4#89,1,
16399_8#31,1,
6730_7#8,1,
17150_6#38,1,
6823_4#2,1,
6972_3#19,1,
15191_6#65,1,
12291_2#52,1,
6259_1#15,1,
17794_6#79,1,
28042_2#80,1,
9803_8#47,1,
14913_3#94,1,
23430_3#127,1,
12274_5#70,1,
6730_7#18,1,
13091_1#7,1,
13154_2#85,1,
14723_6#54,1,
15378_2#59,1,
23430_3#107,1,
15874_1#44,1,
6840_1#20,1,
28042_2#359,1,
5366_6#3,1,
14913_3#25,1,
13091_4#32,1,
14412_2#61,1,
6673_8#19,1,
11658_2#10,1,
13154_3#74,1,
19341_3#112,1,
23430_1#137,1,
13710_1#44,1,
6972_3#16,1,
18814_2#56,1,
19647_1#45,1,
18090_2#67,1,
15682_4#30,1,
17794_6#33,1,
28042_2#266,1,
6823_7#20,1,
16043_2#60,1,
6871_1#8,1,
12291_2#51,1,
19341_2#117,1,
15682_5#37,1,
21127_1#124,1,
12274_5#63,1,
13414_4#42,1,
11826_3#4,1,
6259_3#4,1,
14723_6#65,1,
11657_4#95,1,
15682_4#65,1,
6983_4#82,1,
17794_6#8,1,
6259_8#23,1,
14520_7#52,1,
28042_2#93,1,
6680_7#24,1,
6840_1#3,1,
11860_1#1,1,
10868_6#87,1,
16404_8#27,1,
17794_5#38,1,
22335_7#17,1,
6680_5#11,1,
23204_4#2,1,
6899_7#20,1,
17794_6#94,1,
18090_3#67,1,
18814_2#31,1,
6925_7#9,1,
13091_2#13,1,
19647_1#67,1,
23204_4#84,1,
14723_6#68,1,
5468_2#6,1,
23430_2#110,1,
24861_1#352,1,
5901_7#4,1,
14410_5#78,1,
17138_5#78,1,
5901_6#10,1,
15531_7#7,1,
7011_4#5,1,
11826_3#90,1,
24775_1#229,1,
6259_2#13,1,
14412_2#65,1,
17175_4#17,1,
12299_1#61,1,
24861_1#57,1,
5901_7#3,1,
6753_1#8,1,
17794_5#14,1,
11657_4#27,1,
17794_4#4,1,
24820_2#42,1,
6871_1#16,1,
18090_3#68,1,
21053_8#114,1,
14410_6#10,1,
23204_4#158,1,
13091_2#8,1,
23204_4#153,1,
17794_6#38,1,
17794_6#83,1,
7001_3#7,1,
6823_7#19,1,
23430_3#23,1,
18090_2#180,1,
13415_5#11,1,
15682_3#44,1,
7092_6#10,1,
11657_4#96,1,
13091_2#51,1,
24820_2#59,1,
17794_6#74,1,
28042_2#159,1,
18090_2#72,1,
11826_3#67,1,
12299_2#56,1,
17794_3#84,1,
17794_6#63,1,
6736_8#14,1,
5468_2#8,1,
19647_1#24,1,
13154_3#38,1,
11657_2#24,1,
6259_3#3,1,
18814_2#68,1,
24775_1#59,1,
16399_8#78,1,
6823_3#16,1,
6710_7#20,1,
6736_8#9,1,
6259_4#22,1,
6938_7#3,1,
15682_4#59,1,
16404_7#30,1,
23430_1#160,1,
24820_2#102,1,
17794_4#53,1,
21127_2#33,1,
24820_2#61,1,
14566_5#44,1,
11657_8#63,1,
12291_2#7,1,
19646_1#71,1,
13091_2#7,1,
24820_2#113,1,
18814_2#10,1,
14520_8#20,1,
12274_5#92,1,
13091_2#11,1,
18814_2#25,1,
19084_8#25,1,
6680_6#13,1,
23430_3#81,1,
17794_5#1,1,
16399_8#29,1,
23430_2#173,1,
24820_2#356,1,
12274_6#44,1,
6823_1#17,1,
24861_1#210,1,
18814_2#26,1,
24861_1#230,1,
6753_3#3,1,
24775_1#66,1,
18814_2#41,1,
19647_1#15,1,
6938_6#16,1,
19647_1#7,1,
23430_3#91,1,
12291_1#7,1,
12837_5#69,1,
9950_3#36,1,
17794_6#10,1,
17794_6#70,1,
6736_7#9,1,
12837_3#87,1,
6680_7#9,1,
12299_2#92,1,
13414_2#15,1,
20925_3#13,1,
13091_2#3,1,
14555_3#94,1,
6755_6#19,1,
23430_2#48,1,
11511_8#4,1,
15191_6#57,1,
17794_5#85,1,
17794_6#6,1,
19647_1#40,1,
11658_2#18,1,
15191_5#33,1,
6710_7#6,1,
23430_3#41,1,
6246_3#23,1,
15191_6#54,1,
6710_6#13,1,
18814_2#36,1,
23430_3#153,1,
23430_2#82,1,
22335_7#43,1,
6983_5#14,1,
13415_6#25,1,
11826_3#39,1,
17794_5#72,1,
6805_6#17,1,
11511_8#40,1,
16453_3#12,1,
6570_3#20,1,
23430_2#101,1,
6925_4#20,1,
13091_2#25,1,
15873_8#61,1,
19647_1#6,1,
10868_6#5,1,
6680_5#13,1,
19341_1#81,1,
11826_3#59,1,
17150_4#69,1,
13415_5#59,1,
6823_2#19,1,
5381_2#8,1,
12274_6#43,1,
6938_3#22,1,
6246_3#22,1,
16404_7#37,1,
9803_7#67,1,
15841_4#22,1,
23430_2#91,1,
6983_5#13,1,
11826_3#78,1,
17794_8#24,1,
19647_1#82,1,
22276_1#184,1,
6925_4#16,1,
13670_3#26,1,
19341_3#1,1,
17794_5#20,1,
14673_1#82,1,
12274_5#46,1,
21053_8#188,1,
17794_6#23,1,
6680_4#22,1,
23430_3#100,1,
11657_4#93,1,
17794_6#19,1,
18814_2#3,1,
17794_6#26,1,
24861_1#343,1,
13414_2#63,1,
12274_5#54,1,
12291_2#11,1,
17794_5#19,1,
15191_7#28,1,
16404_7#55,1,
23204_4#94,1,
6753_3#4,1,
14520_7#80,1,
6753_2#17,1,
23430_1#81,1,
11860_1#30,1,
23430_3#82,1,
18623_5#42,1,
28042_2#296,1,
19084_7#163,1,
11658_2#72,1,
6730_5#18,1,
23204_4#31,1,
11657_8#13,1,
23430_2#45,1,
21127_2#162,1,
5392_7#11,1,
21053_8#104,1,
23204_4#43,1,
6983_6#34,1,
18814_1#47,1,
6593_4#7,1,
28042_2#103,1,
6680_6#17,1,
17794_5#64,1,
13710_2#58,1,
6949_4#24,1,
20925_3#77,1,
9803_8#1,1,
7335_3#76,1,
19647_1#53,1,
6805_2#2,1,
6925_5#13,1,
13154_2#84,1,
17794_4#12,1,
23430_4#42,1,
13091_1#50,1,
22335_7#22,1,
19647_1#91,1,
12274_6#7,1,
13414_6#79,1,
15191_6#76,1,
13091_2#73,1,
24775_1#110,1,
18814_2#19,1,
11860_1#28,1,
21999_7#173,1,
6949_2#16,1,
7622_2#12,1,
5477_6#9,1,
14936_4#80,1,
6731_4#4,1,
5477_6#5,1,
19646_1#37,1,
13710_2#33,1,
18814_1#74,1,
16404_7#57,1,
24775_1#85,1,
6259_1#8,1,
22335_7#15,1,
13414_6#80,1,
15682_2#75,1,
11826_3#91,1,
13154_2#17,1,
17150_5#32,1,
6731_3#14,1,
6949_3#20,1,
6775_2#17,1,
6753_3#24,1,
5366_5#11,1,
6999_7#22,1,
21127_1#41,1,
13415_7#73,1,
22335_7#10,1,
18090_2#73,1,
24775_1#73,1,
18814_1#59,1,
6246_3#16,1,
10395_5#37,1,
6731_1#15,1,
12299_2#71,1,
7054_4#6,1,
13091_4#21,1,
15731_8#39,1,
23430_2#149,1,
17794_5#77,1,
14913_5#95,1,
6823_3#18,1,
6730_4#24,1,
18814_2#20,1,
9221_3#40,1,
19536_2#49,1,
22114_6#48,1,
13414_2#64,1,
15841_4#6,1,
23430_3#112,1,
19647_1#85,1,
6775_2#13,1,
21999_8#40,1,
13091_1#68,1,
13091_6#82,1,
6753_2#8,1,
15608_4#70,1,
12274_6#39,1,
12299_1#70,1,
23204_4#174,1,
6631_6#4,1,
11679_1#27,1,
12299_2#88,1,
17794_6#42,1,
12837_5#47,1,
14672_3#33,1,
12291_2#89,1,
6983_2#14,1,
15873_8#72,1,
7054_4#17,1,
13710_1#47,1,
17794_5#61,1,
14673_2#29,1,
6755_4#4,1,
11826_3#89,1,
17059_6#4,1,
6805_4#4,1,
9221_3#82,1,
19647_1#55,1,
9950_2#7,1,
11658_8#16,1,
17794_6#48,1,
18814_1#48,1,
9803_8#42,1,
17794_6#46,1,
17794_4#13,1,
17794_4#84,1,
18814_2#21,1,
6736_7#10,1,
